,ano_campeonato,data,rodada,estadio,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,gols_mandante,gols_visitante,defesas_mandante,defesas_visitante,chutes_mandante,chutes_visitante
363,2022,2022-04-10,1,Allianz Parque,Palmeiras,Ceará SC,Abel Ferreira,Dorival Júnior,2.0,3.0,6.0,2.0,17.0,19.0
0,2022,2022-04-16,2,Estádio Serra Dourada,Goiás,Palmeiras,Jair Ventura,Abel Ferreira,1.0,1.0,5.0,5.0,9.0,22.0
53,2022,2022-04-21,4,Estádio Jornalista Mário Filho,Flamengo,Palmeiras,Paulo Sousa,Abel Ferreira,0.0,0.0,2.0,2.0,17.0,10.0
98,2022,2022-04-24,3,Arena Barueri,Palmeiras,Corinthians,Abel Ferreira,Vítor Pereira,3.0,0.0,1.0,4.0,20.0,7.0
99,2022,2022-05-08,5,Allianz Parque,Palmeiras,Fluminense,Abel Ferreira,Fernando Diniz,1.0,1.0,1.0,4.0,19.0,8.0
100,2022,2022-05-14,6,Allianz Parque,Palmeiras,RB Bragantino,Abel Ferreira,Maurício Barbieri,2.0,0.0,2.0,5.0,14.0,11.0
362,2022,2022-05-22,7,Estádio Alfredo Jaconi ,Juventude,Palmeiras,Eduardo Baptista,Abel Ferreira,0.0,3.0,5.0,3.0,13.0,19.0
13,2022,2022-05-29,8,Estádio Urbano Caldeira,Santos,Palmeiras,Fabián Bustos,Abel Ferreira,0.0,1.0,3.0,3.0,17.0,17.0
101,2022,2022-06-05,9,Allianz Parque,Palmeiras,Atlético-MG,Abel Ferreira,Antonio Mohamed,0.0,0.0,3.0,3.0,16.0,11.0
102,2022,2022-06-10,10,Allianz Parque,Palmeiras,Botafogo,Abel Ferreira,Luís Castro,4.0,0.0,3.0,2.0,14.0,12.0
330,2022,2022-06-12,11,Estádio Major Antônio Couto Pereira,Coritiba FC,Palmeiras,Gustavo Morínigo,Abel Ferreira,0.0,2.0,4.0,4.0,11.0,16.0
297,2022,2022-06-16,12,Allianz Parque,Palmeiras,Atlético-GO,Abel Ferreira,J. de Amorim Campos,4.0,2.0,1.0,8.0,28.0,10.0
141,2022,2022-06-19,13,Estádio Cícero Pompeu de Toledo,São Paulo,Palmeiras,Rogério Ceni,Abel Ferreira,1.0,2.0,4.0,2.0,12.0,23.0
28,2022,2022-06-26,14,Estádio Aderbal Ramos da Silva,Avaí FC,Palmeiras,Eduardo Barroca,Abel Ferreira,2.0,2.0,2.0,2.0,7.0,15.0
298,2022,2022-07-03,15,Allianz Parque,Palmeiras,Athletico-PR,Abel Ferreira,Luiz Felipe Scolari,0.0,2.0,2.0,7.0,35.0,13.0
80,2022,2022-07-10,16,Estádio Governador Plácido Castelo,Fortaleza,Palmeiras,Juan Pablo Vojvoda,Abel Ferreira,0.0,0.0,5.0,6.0,12.0,12.0
103,2022,2022-07-19,17,Allianz Parque,Palmeiras,Cuiabá-MT,Abel Ferreira,Toni Oliveira,1.0,0.0,1.0,8.0,16.0,6.0
153,2022,2022-07-22,18,Estádio Raimundo Sampaio,América-MG,Palmeiras,Vagner Mancini,Abel Ferreira,0.0,1.0,4.0,3.0,15.0,17.0
104,2022,2022-07-24,19,Allianz Parque,Palmeiras,Internacional,Abel Ferreira,Mano Menezes,2.0,1.0,4.0,7.0,18.0,11.0
359,2022,2022-07-30,20,Estádio Governador Plácido Castelo,Ceará SC,Palmeiras,Marquinhos Santos,Abel Ferreira,1.0,2.0,5.0,6.0,12.0,16.0
105,2022,2022-08-07,21,Allianz Parque,Palmeiras,Goiás,Abel Ferreira,Jair Ventura,3.0,0.0,2.0,5.0,19.0,8.0
167,2022,2022-08-14,22,Neo Química Arena ,Corinthians,Palmeiras,Vítor Pereira,Abel Ferreira,0.0,1.0,3.0,4.0,14.0,9.0
299,2022,2022-08-21,23,Allianz Parque,Palmeiras,Flamengo,Abel Ferreira,Dorival Júnior,1.0,1.0,4.0,2.0,20.0,11.0
305,2022,2022-08-28,24,Estádio Jornalista Mário Filho,Fluminense,Palmeiras,Fernando Diniz,Abel Ferreira,1.0,1.0,1.0,2.0,17.0,8.0
353,2022,2022-09-04,25,Estádio Nabi Abi Chedid,RB Bragantino,Palmeiras,Maurício Barbieri,Abel Ferreira,2.0,2.0,2.0,0.0,11.0,11.0
106,2022,2022-09-11,26,Allianz Parque,Palmeiras,Juventude,Abel Ferreira,Umberto Louzer,2.0,1.0,0.0,7.0,23.0,6.0
107,2022,2022-09-18,27,Allianz Parque,Palmeiras,Santos,Abel Ferreira,Orlando Ribeiro,1.0,0.0,3.0,2.0,19.0,16.0
217,2022,2022-09-29,28,Estádio Governador Magalhães Pinto,Atlético-MG,Palmeiras,Cuca,Abel Ferreira,0.0,1.0,2.0,3.0,16.0,10.0
357,2022,2022-10-04,29,Estádio Olímpico Nilton Santos,Botafogo,Palmeiras,Luís Castro,Abel Ferreira,1.0,3.0,2.0,1.0,10.0,12.0
108,2022,2022-10-07,30,Allianz Parque,Palmeiras,Coritiba FC,Abel Ferreira,Guto Ferreira,4.0,0.0,3.0,7.0,19.0,11.0
205,2022,2022-10-10,31,Estádio Antonio Accioly,Atlético-GO,Palmeiras,Eduardo Souza,Abel Ferreira,1.0,1.0,5.0,1.0,10.0,17.0
