,ano_campeonato,data,rodada,estadio,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,gols_mandante,gols_visitante,defesas_mandante,defesas_visitante,chutes_mandante,chutes_visitante
760,2023,2023-04-15,1,Allianz Parque,Palmeiras,Cuiabá-MT,Abel Ferreira,Ivo Vieira,2.0,1.0,3.0,3.0,17.0,12.0
873,2023,2023-04-23,2,Estádio Jornalista Mário Filho,Vasco da Gama,Palmeiras,Maurício Barbieri,Abel Ferreira,2.0,2.0,5.0,1.0,11.0,13.0
761,2023,2023-04-29,3,Allianz Parque,Palmeiras,Corinthians,Abel Ferreira,Danilo,2.0,1.0,2.0,4.0,21.0,9.0
815,2023,2023-05-07,4,Estádio Serra Dourada,Goiás,Palmeiras,Émerson Ávila,Abel Ferreira,0.0,5.0,3.0,4.0,15.0,16.0
762,2023,2023-05-11,5,Allianz Parque,Palmeiras,Grêmio,Abel Ferreira,Renato Portaluppi,4.0,1.0,1.0,6.0,28.0,3.0
763,2023,2023-05-13,6,Allianz Parque,Palmeiras,RB Bragantino,Abel Ferreira,Pedro Caixinha,1.0,1.0,2.0,5.0,22.0,8.0
841,2023,2023-05-21,7,Estádio Urbano Caldeira,Santos,Palmeiras,Odair Hellmann,Abel Ferreira,0.0,0.0,1.0,4.0,12.0,12.0
894,2023,2023-05-28,8,Estádio Governador Magalhães Pinto,Atlético-MG,Palmeiras,Eduardo Coudet,Abel Ferreira,1.0,1.0,1.0,3.0,10.0,11.0
764,2023,2023-06-04,9,Allianz Parque,Palmeiras,Coritiba FC,Abel Ferreira,Antônio Carlos Zago,3.0,1.0,3.0,5.0,23.0,7.0
886,2023,2023-06-11,10,Estádio Cícero Pompeu de Toledo,São Paulo,Palmeiras,Dorival Júnior,Abel Ferreira,0.0,2.0,2.0,6.0,26.0,10.0
781,2023,2023-06-22,11,Arena Fonte Nova,EC Bahia,Palmeiras,Renato Paiva,Abel Ferreira,1.0,0.0,2.0,2.0,9.0,10.0
765,2023,2023-06-25,12,Allianz Parque,Palmeiras,Botafogo,Abel Ferreira,Luís Castro,0.0,1.0,1.0,4.0,15.0,6.0
791,2023,2023-07-02,13,Arena da Baixada,Athletico-PR,Palmeiras,Wesley Carvalho,Abel Ferreira,2.0,2.0,3.0,3.0,27.0,10.0
766,2023,2023-07-09,14,Allianz Parque,Palmeiras,Flamengo,Abel Ferreira,Jorge Sampaoli,1.0,1.0,3.0,3.0,11.0,10.0
820,2023,2023-07-18,15,Estádio Serra Dourada,Internacional,Palmeiras,L. Venker de Menezes,Abel Ferreira,0.0,0.0,1.0,3.0,17.0,6.0
768,2023,2023-07-22,16,Arena Pantanal,Palmeiras,Fortaleza,Abel Ferreira,Juan Pablo Vojvoda,3.0,1.0,2.0,4.0,13.0,12.0
